K, F1Score
1, 0.06666666666666667
1, 0.06666666666666667
2, 0.06451612903225806
3, 0.125
4, 0.18181818181818182
5, 0.17647058823529413
6, 0.17142857142857143
7, 0.16666666666666663
8, 0.2162162162162162
9, 0.21052631578947367
10, 0.20512820512820515
11, 0.2
12, 0.1951219512195122
13, 0.1904761904761905
14, 0.18604651162790697
15, 0.18181818181818182
16, 0.17777777777777778
17, 0.17391304347826086
18, 0.1702127659574468
19, 0.16666666666666666
20, 0.16326530612244897
21, 0.16
22, 0.19607843137254902
23, 0.19230769230769232
24, 0.18867924528301888
25, 0.1851851851851852
26, 0.18181818181818185
27, 0.17857142857142858
28, 0.17543859649122806
29, 0.1724137931034483
30, 0.16949152542372883
31, 0.16666666666666669
32, 0.1639344262295082
33, 0.16129032258064518
34, 0.15873015873015872
35, 0.15625
36, 0.15384615384615385
37, 0.15151515151515152
38, 0.1492537313432836
39, 0.14705882352941177
40, 0.14492753623188406
41, 0.14285714285714285
42, 0.1408450704225352
43, 0.1388888888888889
44, 0.136986301369863
45, 0.13513513513513511
46, 0.13333333333333333
47, 0.13157894736842105
48, 0.12987012987012989
49, 0.12820512820512822
50, 0.1265822784810127
51, 0.125
52, 0.1234567901234568
53, 0.12195121951219515
54, 0.12048192771084339
55, 0.11904761904761904
56, 0.11764705882352941
57, 0.11627906976744186
58, 0.1149425287356322
59, 0.11363636363636363
60, 0.11235955056179775
61, 0.11111111111111112
62, 0.1098901098901099
63, 0.10869565217391304
64, 0.10752688172043011
65, 0.10638297872340427
66, 0.10526315789473685
67, 0.10416666666666666
68, 0.10309278350515463
69, 0.10204081632653061
70, 0.10101010101010101
71, 0.1
72, 0.09900990099009903
73, 0.09803921568627451
74, 0.0970873786407767
75, 0.09615384615384616
76, 0.09523809523809525
77, 0.09433962264150943
78, 0.09345794392523364
79, 0.09259259259259259
80, 0.09174311926605505
81, 0.09090909090909091
82, 0.09009009009009009
83, 0.08928571428571429
84, 0.08849557522123892
85, 0.08771929824561403
86, 0.08695652173913043
87, 0.08620689655172414
88, 0.08547008547008547
89, 0.0847457627118644
90, 0.08403361344537814
91, 0.08333333333333333
92, 0.08264462809917356
93, 0.0819672131147541
94, 0.08130081300813008
95, 0.08064516129032258
96, 0.08
97, 0.07936507936507936
98, 0.07874015748031497
99, 0.078125
100, 0.07751937984496125
101, 0.07692307692307694
102, 0.07633587786259542
103, 0.07575757575757576
104, 0.07518796992481204
105, 0.0746268656716418
106, 0.07407407407407408
107, 0.07352941176470588
108, 0.07299270072992702
109, 0.07246376811594203
110, 0.07194244604316546
111, 0.07142857142857142
112, 0.07092198581560284
113, 0.07042253521126761
114, 0.06993006993006992
115, 0.06944444444444445
116, 0.06896551724137931
117, 0.0684931506849315
118, 0.06802721088435373
119, 0.06756756756756757
120, 0.06711409395973154
121, 0.06666666666666667
122, 0.06622516556291391
123, 0.06578947368421052
124, 0.06535947712418301
125, 0.06493506493506494
126, 0.06451612903225806
127, 0.06410256410256411
128, 0.06369426751592357
129, 0.06329113924050633
130, 0.0628930817610063
131, 0.0625
132, 0.06211180124223603
133, 0.06172839506172839
134, 0.061349693251533735
135, 0.06097560975609756
136, 0.06060606060606061
137, 0.06024096385542168
138, 0.059880239520958084
139, 0.05952380952380952
140, 0.0591715976331361
141, 0.05882352941176471
142, 0.058479532163742694
143, 0.05813953488372093
144, 0.0578034682080925
145, 0.05747126436781609
146, 0.05714285714285714
147, 0.056818181818181816
148, 0.056497175141242945
149, 0.056179775280898875
150, 0.055865921787709494
151, 0.055555555555555566
152, 0.055248618784530384
153, 0.05494505494505495
154, 0.05464480874316939
155, 0.05434782608695652
156, 0.05405405405405406
157, 0.05376344086021506
158, 0.053475935828877004
159, 0.053191489361702135
160, 0.052910052910052914
161, 0.052631578947368425
162, 0.05235602094240838
163, 0.052083333333333336
164, 0.05181347150259067
165, 0.05154639175257732
166, 0.05128205128205128
167, 0.05102040816326531
168, 0.05076142131979695
169, 0.050505050505050504
170, 0.05025125628140703
171, 0.049999999999999996
172, 0.04975124378109452
173, 0.04950495049504951
174, 0.04926108374384237
175, 0.04901960784313725
176, 0.04878048780487805
177, 0.048543689320388356
178, 0.04830917874396135
179, 0.04807692307692307
180, 0.0478468899521531
181, 0.04761904761904762
182, 0.04739336492890995
183, 0.04716981132075471
184, 0.046948356807511735
185, 0.04672897196261683
186, 0.046511627906976744
187, 0.0462962962962963
188, 0.046082949308755755
189, 0.045871559633027525
190, 0.045662100456621
191, 0.045454545454545456
192, 0.04524886877828055
193, 0.045045045045045036
194, 0.04484304932735426
195, 0.044642857142857144
196, 0.044444444444444446
197, 0.044247787610619475
198, 0.04405286343612335
199, 0.04385964912280702
200, 0.04366812227074236
201, 0.043478260869565216
202, 0.043290043290043295
203, 0.04310344827586207
204, 0.04291845493562232
205, 0.042735042735042736
206, 0.04255319148936171
207, 0.04237288135593221
208, 0.042194092827004225
209, 0.042016806722689065
210, 0.04184100418410042
211, 0.041666666666666664
212, 0.041493775933609964
213, 0.04132231404958678
214, 0.0411522633744856
215, 0.040983606557377046
216, 0.04081632653061225
217, 0.04065040650406505
218, 0.04048582995951417
219, 0.04032258064516129
220, 0.040160642570281124
221, 0.04
222, 0.0398406374501992
223, 0.03968253968253968
224, 0.039525691699604744
225, 0.03937007874015748
226, 0.0392156862745098
227, 0.0390625
228, 0.03891050583657587
229, 0.03875968992248062
230, 0.03861003861003861
231, 0.038461538461538464
232, 0.038314176245210725
233, 0.03816793893129771
234, 0.03802281368821293
235, 0.03787878787878788
236, 0.03773584905660377
237, 0.03759398496240601
238, 0.03745318352059925
239, 0.03731343283582089
240, 0.03717472118959107
241, 0.037037037037037035
242, 0.036900369003690044
243, 0.03676470588235294
244, 0.036630036630036625
245, 0.0364963503649635
246, 0.03636363636363636
247, 0.036231884057971016
248, 0.036101083032490974
249, 0.03597122302158273
