K, F1Score
1, 0.2857142857142857
1, 0.2857142857142857
2, 0.5
3, 0.4444444444444444
4, 0.4
5, 0.3636363636363636
6, 0.5
7, 0.4615384615384615
8, 0.42857142857142855
9, 0.4
10, 0.37499999999999994
11, 0.3529411764705882
12, 0.3333333333333333
13, 0.3157894736842105
14, 0.3
15, 0.28571428571428575
16, 0.2727272727272727
17, 0.2608695652173913
18, 0.25
19, 0.23999999999999996
20, 0.23076923076923075
21, 0.22222222222222224
22, 0.21428571428571427
23, 0.20689655172413793
24, 0.2
25, 0.1935483870967742
26, 0.1875
27, 0.1818181818181818
28, 0.17647058823529413
29, 0.17142857142857143
30, 0.16666666666666669
31, 0.16216216216216214
32, 0.15789473684210525
33, 0.15384615384615385
34, 0.15
35, 0.14634146341463414
36, 0.14285714285714285
37, 0.13953488372093023
38, 0.13636363636363635
39, 0.17777777777777778
40, 0.1739130434782609
41, 0.1702127659574468
42, 0.16666666666666666
43, 0.16326530612244897
44, 0.16
45, 0.1568627450980392
46, 0.15384615384615383
47, 0.1509433962264151
48, 0.14814814814814814
49, 0.14545454545454545
50, 0.14285714285714285
51, 0.14035087719298245
52, 0.13793103448275862
53, 0.13559322033898305
54, 0.13333333333333333
55, 0.13114754098360654
56, 0.12903225806451613
57, 0.12698412698412698
58, 0.125
59, 0.12307692307692307
60, 0.1212121212121212
61, 0.11940298507462688
62, 0.1176470588235294
63, 0.11594202898550725
64, 0.11428571428571428
65, 0.11267605633802817
66, 0.1111111111111111
67, 0.10958904109589042
68, 0.10810810810810811
69, 0.10666666666666666
70, 0.10526315789473684
71, 0.1038961038961039
72, 0.10256410256410256
73, 0.10126582278481013
74, 0.1
75, 0.09876543209876544
76, 0.09756097560975609
77, 0.0963855421686747
78, 0.09523809523809523
79, 0.09411764705882351
80, 0.09302325581395349
81, 0.09195402298850575
82, 0.0909090909090909
83, 0.0898876404494382
84, 0.08888888888888889
85, 0.08791208791208792
86, 0.08695652173913045
87, 0.08602150537634408
88, 0.08510638297872342
89, 0.08421052631578947
90, 0.08333333333333334
91, 0.08247422680412372
92, 0.08163265306122448
93, 0.08080808080808081
94, 0.08
95, 0.0792079207920792
96, 0.0784313725490196
97, 0.07766990291262137
98, 0.07692307692307691
99, 0.0761904761904762
100, 0.07547169811320754
101, 0.07476635514018691
102, 0.07407407407407407
103, 0.07339449541284404
104, 0.07272727272727274
105, 0.07207207207207207
106, 0.07142857142857142
107, 0.07079646017699114
108, 0.07017543859649122
109, 0.06956521739130435
110, 0.06896551724137931
111, 0.06837606837606838
112, 0.06779661016949153
113, 0.06722689075630253
114, 0.06666666666666667
115, 0.06611570247933884
116, 0.06557377049180328
117, 0.06504065040650407
118, 0.06451612903225806
119, 0.064
120, 0.06349206349206349
121, 0.06299212598425197
122, 0.0625
123, 0.062015503875969
124, 0.06153846153846154
125, 0.061068702290076333
126, 0.06060606060606061
127, 0.06015037593984962
128, 0.05970149253731343
129, 0.05925925925925926
